64 1754
-13 -18
-25 -25
30 -13
-20 28
10 -5
13 4
-7 5
-30 17
-9 26
27 23
-16 31
-19 8
1 6
-16 27
25 25
19 20
-3 -32
-5 6
-6 19
-14 32
-5 22
-23 -22
22 -32
15 -1
-26 -14
-3 -6
-10 -5
-4 5
4 -13
19 1
29 -15
6 -8
-29 -23
-5 -10
-2 -17
-28 -5
-3 2
8 7
-27 29
18 32
-32 30
0 -31
-20 -5
-19 4
28 -9
17 -14
17 -29
-9 23
-4 -15
11 -11
10 9
6 26
29 21
-21 19
13 -32
-23 -24
-32 -22
-6 25
-30 7
0 32
2 -3
11 -31
-13 -6
-4 -27
35 41 101
8 42 165
48 31 107
6 41 107
27 42 148
6 30 101
33 2 48
39 24 119
28 32 92
24 57 74
48 5 143
59 2 128
45 23 100
55 5 42
34 45 113
50 8 110
47 35 57
1 34 108
28 54 120
18 12 118
48 49 128
59 11 40
20 24 133
17 46 109
24 61 46
15 22 152
11 53 108
22 11 171
41 59 57
8 21 152
25 29 154
56 13 43
9 53 48
34 37 17
17 26 69
59 30 69
7 64 51
11 28 114
4 41 119
30 50 42
17 34 57
61 3 54
23 44 148
56 27 140
9 33 97
13 49 62
7 30 61
18 16 102
63 48 146
52 4 71
45 2 69
48 20 37
60 27 162
7 17 42
13 41 102
47 33 98
34 26 42
32 1 58
7 3 68
15 56 145
47 51 86
4 54 39
51 8 53
63 13 123
13 52 44
56 10 74
11 62 77
59 26 35
17 7 132
57 50 154
47 28 110
21 47 132
63 53 119
8 51 111
33 39 124
21 10 156
18 14 132
17 5 137
35 53 127
7 52 142
17 61 90
27 63 21
4 22 115
21 64 124
32 16 65
45 3 40
53 8 98
27 24 110
32 17 28
32 56 42
28 18 73
63 29 108
51 11 140
8 57 163
50 37 125
63 3 105
37 16 100
27 6 79
35 44 46
2 35 50
40 25 185
48 57 136
10 4 154
49 52 49
55 35 111
47 14 82
47 26 102
20 31 173
31 47 127
13 40 102
30 42 64
64 54 174
4 9 85
45 1 108
7 6 65
46 25 88
49 40 110
15 24 85
23 46 65
15 18 77
61 7 138
25 36 108
39 7 149
8 47 111
55 58 136
33 64 65
56 53 180
41 50 105
53 49 133
44 18 130
63 52 151
10 14 66
55 56 82
1 58 159
11 23 190
17 43 94
45 18 82
48 7 112
16 32 61
46 55 130
4 48 52
36 55 102
63 22 127
25 41 67
56 3 170
56 36 98
26 3 115
10 54 165
53 6 103
22 37 76
4 43 74
46 33 120
37 46 99
7 56 62
56 33 64
59 14 33
59 24 165
9 13 90
58 47 96
46 63 123
53 44 97
10 15 117
31 39 88
41 61 88
26 8 94
20 42 126
42 7 132
46 27 115
21 46 101
4 25 101
55 30 85
33 7 138
55 40 138
47 6 125
50 5 132
54 59 137
48 3 146
63 15 84
48 11 30
10 27 91
47 55 46
39 61 101
58 21 18
36 27 137
27 43 89
56 57 55
59 18 143
39 44 77
26 52 46
39 64 97
37 13 119
2 44 137
24 20 61
29 16 69
34 46 62
27 64 48
43 56 63
21 38 33
17 51 85
30 51 63
26 16 160
54 15 83
16 23 97
47 32 72
7 38 61
17 19 170
28 11 53
28 48 75
50 22 46
28 49 109
2 18 74
8 62 157
49 57 54
12 31 178
45 49 151
54 43 34
28 62 151
33 9 164
37 57 139
32 13 20
45 6 25
12 27 141
11 55 168
63 6 33
32 19 43
50 26 37
7 4 134
21 8 107
4 20 20
55 39 132
59 49 87
40 50 129
17 30 89
52 15 142
28 31 105
4 18 30
55 8 101
64 11 137
27 37 32
51 18 52
18 39 86
48 43 65
41 51 85
41 25 97
53 63 147
41 63 81
60 4 113
59 39 87
54 7 25
10 1 117
36 45 103
50 55 75
20 10 75
16 55 107
54 2 85
49 25 32
41 8 49
16 53 89
51 29 104
17 58 129
2 40 81
45 36 62
37 23 101
8 26 90
48 37 73
52 22 61
37 34 140
33 12 150
52 53 75
41 15 136
55 21 79
20 46 150
21 24 47
12 55 157
23 61 148
64 56 133
7 63 112
53 12 158
54 33 159
46 24 133
62 51 108
13 16 30
6 27 64
59 38 107
45 35 81
54 40 93
26 1 36
22 10 117
2 25 105
63 33 117
60 15 143
23 16 156
52 5 95
54 50 168
39 53 143
50 7 56
54 1 131
11 45 184
44 19 141
9 39 134
45 19 126
23 39 97
48 30 138
60 23 113
36 59 133
34 60 130
10 16 94
12 37 88
13 53 45
62 16 67
45 24 31
63 62 42
63 19 82
32 50 111
36 5 97
32 36 160
4 27 71
17 55 96
8 25 89
30 11 58
26 17 51
54 53 54
4 7 78
52 18 134
9 18 148
25 42 153
21 48 17
32 9 128
4 2 80
2 16 125
9 29 113
22 42 131
24 33 61
60 49 83
18 19 119
40 37 64
15 64 80
27 36 93
48 40 119
23 50 62
41 35 76
7 44 25
20 27 81
34 58 78
20 2 120
24 52 63
58 23 91
50 60 95
6 9 124
49 47 106
1 4 88
12 32 93
12 18 76
22 15 147
52 40 28
35 62 67
15 34 173
50 58 71
4 12 127
25 53 152
34 62 111
13 47 127
36 35 58
12 42 78
10 39 154
45 31 72
28 41 61
62 53 87
16 56 187
4 29 63
7 27 38
12 4 97
6 50 72
26 64 75
7 26 66
32 52 77
28 33 43
50 1 88
12 10 134
30 61 129
46 60 134
46 18 116
4 21 78
49 44 54
33 10 104
23 10 91
22 57 34
64 53 123
4 53 51
48 45 54
41 62 118
20 34 134
56 48 129
6 24 24
39 14 51
52 34 59
27 60 54
54 6 155
27 45 107
50 18 144
20 15 78
39 43 98
8 5 158
26 14 89
54 62 156
36 47 83
18 8 154
48 51 141
21 54 142
32 12 54
39 30 83
30 35 80
50 42 84
28 60 148
13 9 136
8 4 84
33 15 182
60 28 143
50 17 37
41 19 69
50 2 165
10 58 159
55 11 163
35 28 131
2 21 59
11 42 104
45 58 94
47 12 61
37 31 103
7 9 31
19 15 63
10 28 133
40 31 50
26 20 60
16 4 115
56 60 165
24 39 113
16 15 61
18 26 83
10 29 156
24 10 153
15 42 69
46 48 78
37 52 72
23 64 138
8 32 81
54 25 97
52 30 100
56 58 58
43 41 86
10 50 92
19 3 136
8 17 114
29 44 107
33 62 44
21 59 47
16 20 147
7 51 48
17 6 50
15 32 42
40 44 111
12 7 112
63 36 113
30 33 66
23 54 152
10 60 34
28 57 103
4 30 81
33 26 130
9 2 175
25 62 162
28 56 108
40 17 101
36 19 74
16 2 164
36 48 152
37 19 61
46 50 54
28 21 128
25 59 110
45 20 83
36 54 103
15 3 102
46 40 112
62 21 70
24 30 69
12 20 55
6 8 102
55 47 90
2 4 159
40 47 88
9 19 29
52 56 169
63 39 93
53 15 67
20 25 106
52 16 106
55 19 127
27 4 36
25 63 21
41 31 191
16 24 120
22 60 100
24 48 156
13 12 75
55 43 115
40 36 167
4 55 186
2 28 142
7 28 18
39 41 43
58 37 102
7 53 123
27 34 108
37 48 146
56 14 178
39 58 81
4 60 130
61 55 116
25 1 20
16 25 150
32 55 48
52 1 144
17 62 52
20 62 127
7 37 48
9 56 99
59 45 159
44 61 144
54 23 102
28 19 135
8 34 148
60 55 126
47 8 147
24 45 48
10 42 93
17 52 121
13 5 36
39 34 148
50 15 146
24 15 84
50 14 64
55 41 89
46 49 43
4 52 129
56 41 166
13 34 76
35 12 54
57 46 138
48 13 23
41 33 81
20 26 70
62 31 33
20 4 89
4 11 108
2 33 41
55 45 47
26 28 138
32 2 39
40 3 119
16 42 135
10 24 39
7 31 167
21 1 117
54 27 89
43 49 33
24 54 71
47 3 23
20 39 57
41 20 26
21 12 80
36 30 65
17 24 58
51 50 122
61 11 114
60 14 139
9 15 76
14 19 86
59 60 101
48 52 121
59 12 137
50 24 84
2 27 102
54 31 137
24 19 34
18 33 77
47 19 118
14 7 78
49 6 131
60 21 87
40 19 105
33 60 84
37 54 140
46 54 56
28 52 57
44 29 103
34 19 57
25 4 92
13 64 107
26 48 111
54 35 51
21 22 163
56 26 52
32 63 85
63 38 145
52 32 98
47 38 159
58 51 50
53 21 56
16 50 124
15 6 80
24 42 54
33 20 74
8 18 111
56 35 91
33 48 88
2 43 99
52 10 78
28 50 32
28 6 139
54 47 162
4 19 116
55 26 142
47 11 196
30 29 91
52 33 99
7 32 106
52 58 110
7 58 33
10 2 75
22 47 53
17 15 83
8 19 142
63 11 118
15 21 131
7 34 41
22 32 151
9 38 94
22 18 158
52 20 57
63 43 66
55 10 163
24 37 100
56 11 76
23 2 164
39 19 134
17 28 42
22 51 94
25 11 168
39 38 149
63 51 78
2 13 92
45 56 138
18 35 31
16 17 108
26 34 75
36 8 55
39 35 132
10 59 98
21 45 69
55 62 106
59 23 117
55 38 44
56 52 182
2 31 173
36 14 49
62 14 75
16 7 37
39 3 169
2 46 47
50 57 78
59 41 55
63 57 73
44 1 142
19 64 72
44 41 59
36 56 131
50 4 125
63 2 23
13 38 51
4 36 52
50 49 83
11 5 138
56 6 57
28 29 32
9 11 47
33 1 43
4 58 110
28 14 143
59 31 127
21 56 61
26 42 77
50 20 97
24 44 115
16 62 117
11 15 166
8 40 118
27 46 125
6 15 93
8 50 75
4 45 184
33 56 96
26 47 108
49 63 122
28 42 152
52 23 133
47 27 151
59 20 50
48 27 99
39 52 42
47 45 55
20 12 49
9 55 146
13 26 32
17 8 161
28 37 30
52 45 55
63 28 66
28 46 54
2 60 159
50 43 56
8 13 141
21 52 46
47 62 121
34 4 72
9 27 87
25 20 63
25 5 87
32 15 131
20 44 31
56 55 72
30 32 68
47 43 95
7 43 112
33 32 97
47 42 100
11 24 156
41 64 81
20 9 131
7 42 163
7 55 116
60 34 65
58 9 128
49 54 166
24 7 88
41 27 138
41 1 121
6 58 34
46 21 43
13 22 50
45 44 124
32 47 30
25 8 72
26 5 76
13 63 117
56 12 53
53 11 60
11 17 154
18 41 120
6 16 71
53 61 64
10 41 66
21 36 43
19 5 102
17 35 64
28 4 45
16 33 174
36 20 125
23 33 121
21 41 33
45 7 155
25 2 30
53 38 136
4 50 59
41 54 102
17 25 130
22 33 74
4 1 154
8 60 86
53 28 147
26 33 56
49 58 153
21 6 83
35 58 51
12 64 165
43 15 109
46 41 155
55 20 85
56 28 128
11 35 119
8 6 143
51 47 136
36 64 90
8 49 87
33 57 12
61 51 66
20 30 104
56 20 138
16 13 150
32 7 54
49 1 83
27 59 74
12 26 87
27 49 76
54 60 88
45 22 103
8 23 194
26 62 71
63 49 25
23 49 159
10 18 40
60 26 65
45 39 115
46 32 124
13 37 59
45 29 90
34 35 53
39 57 94
47 21 108
55 25 98
6 5 50
20 21 87
46 22 132
9 28 24
21 27 118
11 39 111
36 26 39
33 47 169
49 35 106
11 48 66
12 39 116
50 53 43
43 7 18
41 28 45
48 39 68
48 58 107
60 45 91
34 22 116
58 61 104
7 20 129
11 63 143
9 5 155
16 14 143
39 8 40
9 45 168
49 7 131
35 63 122
15 62 148
7 61 93
11 57 70
18 22 112
39 48 140
32 33 141
54 21 54
37 55 69
16 10 122
12 14 126
6 32 59
15 35 95
37 4 154
56 34 36
55 52 184
2 19 165
10 37 149
10 22 118
50 21 55
24 27 120
28 3 90
55 17 73
21 58 38
4 62 178
21 5 121
50 31 98
20 43 88
25 28 146
59 7 129
26 30 112
28 10 111
36 7 35
64 34 52
32 48 57
28 44 141
22 7 114
46 5 63
8 44 26
55 48 128
35 5 119
50 28 110
16 9 68
39 42 86
11 22 69
24 3 74
55 28 61
58 44 37
55 24 96
64 52 92
19 2 156
32 29 76
33 61 73
33 13 140
53 5 89
59 29 63
46 56 50
36 9 93
6 34 60
7 12 129
20 32 109
12 50 57
33 38 127
16 63 107
21 3 147
20 23 166
53 42 129
49 31 135
28 24 79
9 51 131
30 22 78
39 62 173
60 2 88
32 30 104
47 1 155
53 24 78
7 1 150
20 61 88
17 60 94
49 42 121
9 22 128
54 34 157
41 44 136
16 46 76
9 48 72
59 9 47
28 8 150
47 46 23
4 14 102
18 54 68
13 3 37
45 4 139
20 6 84
56 47 160
41 18 65
54 8 69
6 40 146
27 47 161
27 11 156
16 26 51
28 17 104
54 4 42
59 4 148
42 26 77
13 51 59
25 30 161
49 33 121
48 42 125
17 40 181
16 29 70
59 19 82
51 30 45
27 38 41
41 3 117
47 37 42
24 14 92
50 46 124
20 14 18
30 45 33
4 40 156
24 17 79
54 16 156
50 10 111
52 7 59
11 51 76
36 57 44
28 35 136
41 23 198
8 48 106
39 55 149
4 35 143
62 39 123
30 8 114
56 15 127
28 58 63
30 62 65
55 3 51
32 21 130
46 51 147
13 30 118
25 17 134
33 59 85
24 41 117
13 14 83
41 14 144
13 17 61
52 42 93
16 11 63
46 7 120
2 3 97
11 58 107
53 14 78
59 17 58
21 32 137
48 16 115
36 11 157
60 48 53
17 49 133
36 16 96
64 17 72
37 10 117
52 64 135
46 36 164
10 19 55
34 47 52
56 23 46
27 9 150
7 50 141
21 35 44
58 17 117
45 41 194
36 51 101
12 56 125
45 21 173
2 34 145
47 18 116
24 32 107
39 36 119
22 49 92
17 42 27
1 47 113
36 18 141
17 16 103
4 51 132
2 64 53
26 50 96
63 44 38
28 63 18
39 25 74
34 40 111
4 47 159
40 57 156
36 25 132
8 55 112
32 53 149
26 58 65
62 23 87
13 1 114
20 40 146
2 11 76
36 10 160
11 12 60
30 57 172
46 4 173
6 33 141
51 19 143
30 20 74
7 15 54
44 47 140
46 34 104
30 46 112
22 36 71
28 40 73
33 44 88
17 38 112
23 9 145
13 39 108
26 7 81
28 7 74
27 7 95
39 1 137
26 46 104
60 63 109
55 42 94
14 37 136
48 14 33
58 33 61
48 17 180
59 28 130
44 9 104
25 47 79
9 25 168
36 49 67
24 43 37
35 31 87
15 36 155
50 3 80
55 29 123
47 22 130
52 12 74
24 23 44
51 41 167
25 61 82
7 25 88
36 60 81
43 51 50
7 11 92
12 9 132
62 30 73
7 62 102
27 8 36
23 27 134
33 31 93
7 8 43
47 63 91
49 34 80
7 18 84
41 32 138
12 59 127
57 55 52
21 39 86
52 47 148
54 36 131
39 22 136
10 21 134
55 12 132
35 37 43
13 55 64
53 9 151
49 41 126
61 25 82
56 59 33
39 23 159
15 61 49
18 61 133
9 12 102
53 22 177
44 17 144
59 3 64
8 46 149
4 64 106
43 10 95
26 37 32
10 47 135
45 59 162
21 20 106
8 3 135
51 64 134
56 39 81
56 18 115
12 45 152
59 27 76
51 2 163
47 48 185
18 62 70
2 59 65
41 9 45
53 36 122
43 11 39
24 4 152
48 41 58
46 59 98
49 38 54
37 39 108
10 33 194
55 23 110
41 60 33
16 35 164
22 61 65
46 2 92
33 45 94
11 7 102
41 10 106
30 24 111
47 36 68
2 56 57
17 27 76
11 50 140
33 17 106
26 15 114
50 23 112
57 13 82
57 15 162
20 58 20
21 4 118
22 64 145
34 28 53
7 59 126
43 9 149
9 52 52
26 12 138
62 15 139
14 24 71
15 5 114
23 56 54
13 62 165
43 22 138
27 17 154
49 53 129
17 29 32
16 22 145
23 63 86
21 63 84
54 9 41
9 4 39
16 41 117
36 46 142
34 55 29
40 55 187
28 13 20
32 23 87
63 60 157
23 45 41
48 6 47
37 26 86
37 11 95
49 23 32
49 51 130
16 8 119
16 43 169
55 57 55
26 25 60
8 9 43
53 45 129
54 42 67
24 12 119
56 62 83
54 55 127
25 23 140
62 58 127
45 64 163
17 2 86
2 50 70
55 18 140
13 15 90
20 47 158
47 57 64
21 55 80
2 9 68
50 45 144
15 45 45
21 14 122
43 21 129
3 26 114
2 63 104
28 12 63
54 24 114
49 56 93
21 49 101
30 2 172
44 52 130
22 56 95
30 31 77
45 51 42
33 55 87
11 9 70
24 11 124
726
53 50
36 14
36 58
29 63
18 19
30 41
31 63
2 56
64 44
21 53
55 64
3 45
34 60
45 35
6 12
30 20
64 42
49 2
25 22
62 33
46 8
18 59
51 22
30 10
15 27
46 40
32 13
57 53
48 55
44 40
14 58
58 6
54 11
42 53
15 64
31 42
47 52
7 47
46 9
58 13
31 35
21 43
30 54
52 51
49 61
19 34
43 22
19 53
15 12
5 40
45 41
60 15
60 5
58 44
7 10
7 40
61 32
10 44
37 15
40 1
24 55
4 19
46 62
64 25
34 18
33 35
4 18
32 55
40 7
48 26
60 9
45 40
54 44
37 12
12 39
17 64
37 5
17 54
37 42
34 63
5 33
10 53
42 37
36 44
64 20
5 30
31 14
5 15
10 29
29 2
25 53
13 59
2 33
62 64
2 42
18 62
38 50
21 27
63 57
63 17
9 58
12 57
35 51
33 23
64 3
45 8
13 32
38 17
20 16
51 9
40 36
42 22
2 7
57 46
58 42
17 17
31 13
57 32
41 21
24 16
64 40
1 63
62 11
50 6
13 5
8 47
7 54
42 37
16 54
56 29
59 52
30 22
50 28
42 64
39 6
40 64
56 35
9 1
36 44
25 56
21 51
34 54
35 34
11 41
36 21
16 52
30 59
22 13
10 43
14 35
33 50
31 7
29 8
56 36
45 42
1 37
30 64
8 8
19 41
52 17
17 1
29 19
54 53
34 61
13 61
55 58
30 55
23 36
20 27
26 27
43 39
60 59
20 44
22 30
52 14
59 34
56 61
18 32
21 13
17 40
38 59
24 49
51 8
7 40
41 37
53 56
16 25
38 43
6 35
64 11
31 5
10 64
3 22
3 34
37 55
15 8
11 50
54 49
16 12
8 12
37 47
54 15
26 3
18 32
23 39
27 51
13 7
9 34
49 24
47 30
6 38
3 50
23 45
46 30
35 54
28 58
27 53
38 49
15 60
38 64
4 36
11 62
29 28
60 4
41 20
64 56
30 43
7 64
45 4
57 45
22 53
61 34
12 33
25 25
34 25
19 54
51 47
26 35
28 5
22 59
50 42
53 16
54 36
29 48
47 38
5 12
3 57
42 16
40 42
51 60
3 35
35 17
2 11
5 47
17 36
37 40
46 62
60 44
64 46
44 41
4 42
42 60
21 7
51 59
5 11
60 51
19 26
56 15
8 37
15 44
31 47
31 11
2 29
30 5
62 63
16 59
62 10
56 26
57 39
60 59
25 11
42 6
41 51
21 21
7 45
37 28
31 1
10 22
11 32
59 56
42 46
61 7
60 2
53 9
34 30
22 34
41 20
19 21
5 25
34 16
9 10
63 17
26 53
28 62
1 35
16 26
45 5
18 43
15 35
11 40
62 12
51 41
23 4
51 12
46 54
17 50
62 44
48 32
48 44
46 7
39 56
9 64
15 61
53 37
3 41
6 34
15 59
18 61
24 23
59 23
2 17
16 12
18 31
28 2
21 50
60 35
54 4
1 6
4 52
26 27
15 15
9 5
48 47
36 3
26 52
9 25
50 23
6 23
41 61
46 49
33 52
16 18
46 36
44 11
58 12
57 37
61 33
8 51
8 11
29 35
59 25
40 33
42 35
50 32
63 43
30 8
6 42
58 27
63 56
24 12
4 26
10 14
60 36
28 18
15 19
15 30
32 11
54 8
13 48
40 12
51 13
12 16
46 49
31 20
39 46
52 17
52 18
32 34
16 26
38 6
7 33
17 44
29 1
40 60
52 50
15 16
16 13
26 55
14 59
32 11
6 9
43 34
31 62
43 15
43 21
57 51
10 34
5 19
60 33
51 46
10 36
32 53
32 37
2 40
56 42
20 22
58 28
1 63
54 48
13 31
22 26
17 31
58 28
6 46
8 8
59 46
8 50
1 35
41 54
3 59
61 4
24 2
2 35
57 47
34 7
29 13
20 21
25 49
19 1
60 4
32 20
32 49
47 38
15 8
27 30
22 1
45 19
34 19
3 16
30 24
35 24
12 2
44 46
27 52
26 17
16 40
59 63
28 42
36 39
19 28
21 50
21 5
50 29
32 1
51 6
47 4
36 37
33 8
8 31
6 1
12 28
46 10
14 46
6 46
56 57
48 28
61 3
3 50
4 8
17 15
14 26
1 21
35 13
5 22
31 20
34 6
34 18
16 57
4 11
55 4
23 51
10 59
23 19
8 34
34 47
5 1
15 55
52 50
27 26
39 2
41 48
16 36
23 42
58 43
51 11
47 57
17 13
57 28
17 7
63 17
6 36
53 48
15 34
56 44
31 31
31 42
36 54
28 39
35 38
36 45
26 29
47 24
1 13
48 3
63 24
34 21
28 23
60 6
60 32
22 54
51 15
12 21
45 6
21 28
49 18
57 43
35 18
55 41
53 30
48 3
50 54
45 8
61 10
15 14
58 23
44 3
17 46
58 12
18 27
44 59
56 21
18 45
31 55
50 10
33 20
17 31
49 19
5 62
34 5
24 35
56 8
34 27
39 55
27 53
24 44
24 27
50 53
12 29
36 64
41 7
24 5
46 39
7 13
19 62
42 61
42 13
4 9
4 48
52 55
7 41
28 62
51 53
60 55
45 60
8 41
26 34
28 17
12 51
27 59
21 26
36 30
12 28
2 11
23 42
49 28
41 46
58 1
43 27
19 57
43 16
33 23
55 2
35 9
50 51
62 18
21 57
34 45
5 62
50 23
52 50
32 4
12 44
64 45
41 28
39 49
32 35
17 5
58 14
40 11
57 58
25 36
44 32
7 48
12 13
60 46
41 60
5 58
49 29
12 11
2 55
32 23
13 13
50 51
41 30
52 56
23 40
31 58
25 60
24 44
37 17
34 29
32 57
9 37
30 24
21 29
3 29
9 2
26 3
24 31
46 21
8 47
26 5
23 1
30 11
33 53
6 32
39 50
22 4
56 20
5 14
22 18
9 23
53 58
31 29
33 23
37 58
62 17
10 52
4 27
35 8
7 19
55 33
24 35
55 24
45 23
11 4
26 33
63 54
38 3
16 30
34 1
43 10
17 12
34 22
40 35
1 29
50 61
7 3
27 41
64 18
3 8
49 11
12 33
32 30
18 20
14 1
11 5
39 7
40 45
17 12
2 34
48 11
22 47
