34 472
-13 -5
-13 -11
-8 -14
-5 -6
12 6
16 17
-7 -11
0 -13
-11 13
0 -15
11 10
-12 -9
-7 -7
-13 6
-2 13
17 -14
-14 6
-5 5
-10 16
-16 1
-7 0
10 -11
-13 -9
-17 13
-14 -17
-17 7
-1 16
-2 -11
-3 0
17 5
12 15
-4 15
-16 14
-1 0
7 15
25 6
8 25
4 25
30 30
26 15
33 2
2 27
2 4
9 8
8 14
1 11
19 7
3 12
17 11
18 3
18 10
9 31
2 6
30 3
12 27
5 31
12 11
4 18
18 25
3 1
8 29
28 27
15 14
21 1
22 26
9 20
13 23
31 23
27 6
25 31
9 7
30 15
9 4
34 9
3 19
28 26
8 18
30 23
17 17
16 23
20 29
15 21
19 20
19 24
14 16
25 13
1 7
26 2
34 13
18 11
15 13
32 3
32 17
12 29
27 8
7 11
24 3
12 15
26 10
31 23
19 10
29 22
29 16
26 2
27 29
24 4
33 6
8 7
31 12
23 2
9 25
31 6
10 15
23 32
30 12
10 24
17 29
27 6
18 11
9 17
26 10
3 33
18 3
13 19
30 5
18 15
21 29
15 28
13 24
13 14
27 28
7 15
20 34
22 4
13 3
24 21
4 7
10 33
23 33
23 7
2 5
3 26
28 29
4 22
15 33
27 29
32 29
24 32
4 22
14 18
15 9
6 27
15 32
11 14
20 16
6 15
1 6
12 22
26 15
22 25
31 1
23 14
10 30
23 9
18 12
29 1
19 5
27 27
33 10
12 31
19 24
3 33
27 13
28 27
17 2
6 24
34 24
22 15
21 26
17 19
9 3
31 8
22 6
30 31
14 20
24 17
4 26
7 7
32 24
22 32
3 31
26 16
6 6
1 29
17 12
7 7
27 27
22 16
28 30
12 22
17 31
14 32
13 24
20 9
18 15
17 31
5 20
16 13
11 16
2 16
5 1
14 2
13 17
25 11
4 25
14 3
13 1
16 6
18 28
3 17
21 27
12 2
30 11
3 8
12 10
5 13
29 31
17 16
18 12
20 31
33 9
5 28
2 15
19 5
4 10
30 18
13 19
30 13
24 12
6 2
14 18
34 29
20 2
9 16
18 1
23 6
9 7
18 12
22 19
1 16
27 33
4 2
15 22
34 10
2 4
26 6
7 18
17 16
10 11
8 1
6 3
21 4
22 24
9 7
1 18
26 6
12 25
10 16
15 32
15 33
2 33
15 15
9 18
34 26
24 3
3 11
11 34
10 24
12 34
15 25
14 28
9 18
13 21
28 16
8 2
2 12
31 10
33 7
22 7
29 4
