29 313
6 -3
2 -3
-9 -8
12 14
-5 -14
-4 9
-11 8
6 -12
10 5
-4 11
1 -11
-13 -2
10 7
10 6
-8 1
1 -7
-6 9
-6 8
3 -6
10 11
-10 -4
-10 -7
-6 -7
-8 -3
4 9
-3 3
11 -4
3 1
-5 10
8 20
13 1
19 27
24 23
7 7
8 6
12 25
7 27
15 5
3 4
20 16
14 29
20 7
20 10
26 23
5 16
3 9
28 15
23 21
5 16
15 24
15 17
1 18
26 19
9 10
27 13
1 29
25 22
6 14
10 12
8 14
27 13
3 21
4 4
27 21
4 23
1 16
19 25
2 27
28 2
11 1
1 16
26 22
16 3
13 6
9 10
11 22
9 1
27 2
15 9
15 22
22 18
7 4
12 14
10 1
21 9
16 9
1 7
14 11
16 11
6 1
20 21
12 24
12 8
8 19
27 29
13 19
17 18
9 13
10 23
10 2
23 13
15 1
23 3
21 2
16 17
15 4
4 14
3 1
6 13
21 5
7 21
3 21
26 26
22 13
28 2
2 23
2 4
8 7
7 12
1 10
16 6
3 10
14 9
16 3
16 9
8 26
2 5
25 2
11 23
5 27
11 9
4 15
16 22
3 1
7 25
24 23
13 12
18 1
19 22
7 17
11 19
27 20
23 5
22 26
8 6
26 13
8 3
29 8
3 17
24 22
7 15
25 20
14 14
14 19
17 25
13 18
16 17
17 21
12 14
22 11
1 6
22 1
29 11
16 10
13 11
28 3
27 15
10 25
23 7
6 10
20 3
10 13
23 8
26 20
16 8
25 19
24 14
22 2
23 25
21 4
28 5
7 6
27 11
20 2
8 21
27 6
8 13
20 27
26 10
8 21
14 25
23 5
15 9
8 14
22 9
3 28
16 2
11 16
25 4
16 13
18 25
13 24
11 20
11 12
23 24
6 13
17 29
19 3
11 3
21 18
3 6
9 28
19 28
19 6
2 4
2 22
24 25
3 19
13 28
23 24
28 25
21 28
4 19
12 16
13 8
5 23
13 27
10 12
17 14
6 13
1 5
11 19
23 13
19 21
26 1
20 12
9 26
20 8
15 11
25 1
16 4
23 23
28 8
10 26
16 21
3 29
23 11
24 23
15 2
