25 264
6 6
-6 -8
2 9
4 -12
-9 -10
-2 -8
-3 -5
9 -10
-12 -4
-12 6
-9 2
6 7
-7 2
8 7
0 -3
3 5
-4 9
-3 -2
-4 -11
-6 7
9 -1
-7 -11
5 -7
3 2
5 11
24 13
20 18
4 14
13 21
13 15
1 16
22 17
8 9
23 11
1 25
21 19
5 12
9 10
7 13
23 11
3 18
3 3
23 18
3 20
1 14
16 21
1 23
24 2
10 1
1 14
23 19
14 3
12 5
8 8
10 19
8 1
24 2
13 8
13 19
19 15
6 4
11 12
9 1
18 8
14 8
1 6
12 10
14 10
5 1
17 18
11 20
