47 887
7 -15
-8 -13
21 -1
-7 -20
-21 -12
-5 -18
4 -2
-5 17
12 23
-21 17
-15 15
-19 21
-7 9
-11 -20
-13 13
-2 15
12 -10
19 4
-12 3
-4 7
20 -11
6 21
17 -17
-17 -5
-22 -14
10 -15
-22 -5
-13 12
19 20
-16 6
23 20
17 23
20 -14
15 -17
18 -20
-22 -19
21 -4
1 -10
6 -8
-16 0
-23 20
19 0
-4 6
12 -7
-14 -16
2 -18
11 -9
28 26 124
23 32 63
45 26 89
42 22 77
31 36 71
43 17 26
3 39 109
4 3 81
33 20 63
35 6 39
45 12 64
19 32 90
39 32 99
21 11 51
21 40 54
40 25 48
38 29 110
33 47 14
33 17 60
20 10 69
36 14 40
35 46 75
3 8 115
17 4 48
28 2 31
15 38 44
43 13 50
14 39 51
17 7 101
22 14 113
30 13 73
24 28 74
45 33 50
3 32 26
23 4 68
24 41 96
22 5 87
19 12 99
47 21 62
15 32 63
25 27 43
45 27 44
38 47 54
39 37 42
33 43 97
18 12 78
45 39 79
43 42 94
21 14 84
44 36 38
35 36 101
5 20 99
29 25 72
38 31 53
39 27 61
35 8 129
25 11 40
45 34 76
13 35 77
22 23 90
41 23 85
14 46 33
29 5 101
14 11 46
46 27 55
44 47 56
44 13 27
21 18 93
16 36 92
44 26 43
17 45 36
28 35 90
22 36 56
35 27 84
43 38 90
17 15 117
35 7 47
31 43 123
13 30 41
31 19 52
7 23 112
16 27 47
18 13 87
26 43 103
18 3 90
44 3 101
24 15 46
25 30 70
34 13 96
31 13 79
7 33 66
34 31 43
20 15 45
4 45 25
26 29 54
6 40 99
19 40 40
35 18 91
35 33 49
29 22 51
3 19 50
5 28 88
25 34 45
29 14 111
10 2 45
14 25 56
38 25 69
3 16 58
23 14 108
6 34 107
10 45 96
16 23 74
44 8 119
25 42 49
2 29 60
28 24 19
21 43 33
4 19 64
25 6 95
9 10 79
18 38 92
11 31 53
22 43 106
9 21 92
42 17 44
13 26 80
31 37 35
4 26 20
32 11 33
42 37 80
17 28 55
33 32 90
32 3 32
17 41 123
31 10 93
7 30 74
13 34 116
33 12 134
24 34 118
7 6 72
44 30 68
17 22 96
16 3 33
18 29 49
43 12 27
28 21 82
44 21 69
16 40 82
4 40 87
9 20 73
29 24 132
5 45 29
3 40 69
19 42 36
34 38 43
11 45 69
3 47 38
42 12 104
31 21 50
29 17 98
38 36 69
43 14 72
25 32 55
19 26 82
17 27 71
1 21 25
43 15 40
26 6 77
1 44 43
19 4 84
34 19 43
3 22 84
44 23 70
9 22 8
9 17 92
16 46 90
5 44 52
27 32 51
7 17 86
16 32 114
41 8 71
29 31 49
2 31 117
18 45 88
42 35 91
44 18 107
5 8 84
21 33 22
21 17 61
36 19 107
43 26 41
33 3 35
19 27 45
36 34 41
6 32 51
28 42 98
17 29 58
43 7 94
19 15 63
5 32 96
43 28 93
18 28 38
10 39 70
42 27 127
36 17 96
27 17 95
18 26 49
32 44 38
40 17 70
26 42 25
43 3 79
38 3 60
31 23 75
6 31 89
3 25 78
3 20 48
31 25 118
15 20 62
34 2 79
21 41 113
38 41 121
29 4 96
36 29 149
14 17 38
14 30 49
17 39 85
38 18 115
24 21 38
45 4 25
21 10 90
28 9 62
19 36 61
38 14 44
1 36 68
10 41 29
19 47 81
6 24 85
33 5 50
14 43 41
16 12 23
5 19 37
38 5 39
5 2 16
36 25 83
29 2 56
33 46 44
25 10 44
11 36 91
5 42 59
32 46 57
42 40 104
3 4 126
37 10 98
5 9 141
9 27 134
19 21 121
31 9 103
44 24 36
17 6 25
22 31 102
21 26 85
42 10 92
25 36 43
43 10 32
6 14 94
42 2 42
35 4 49
41 43 45
19 39 61
17 8 101
6 38 22
6 15 123
46 20 26
38 9 65
9 41 112
32 43 86
3 46 63
35 2 78
36 2 27
25 33 111
6 7 85
31 30 126
28 11 79
42 4 125
25 39 93
26 8 84
31 20 115
35 3 31
35 26 70
20 46 101
35 16 54
26 47 8
5 33 109
24 7 80
38 4 104
19 22 38
16 10 108
21 39 105
31 42 110
25 38 76
45 22 126
24 27 28
43 46 31
39 35 40
29 33 81
4 25 24
32 23 89
33 6 32
21 38 76
3 23 22
27 23 62
16 31 36
20 24 35
27 43 32
3 13 112
2 45 96
33 24 116
45 40 98
18 24 83
46 12 61
25 43 75
28 1 34
38 42 39
18 37 73
24 10 79
42 41 57
45 21 40
11 38 87
14 26 56
17 42 53
43 11 38
44 15 102
40 47 54
16 4 56
3 5 122
38 24 51
29 12 98
33 28 110
4 12 90
34 43 63
15 17 88
45 46 72
41 38 96
27 14 51
37 46 48
3 26 30
31 28 59
21 35 49
17 9 106
17 14 117
10 8 31
25 17 107
16 34 77
16 25 121
1 13 106
34 16 46
19 34 110
5 27 19
36 42 115
37 42 66
13 33 111
28 32 62
22 44 92
34 12 128
43 31 38
33 41 62
35 15 111
16 6 61
31 11 77
26 35 22
20 13 13
21 9 44
19 16 89
25 40 101
35 22 116
22 41 50
25 19 94
34 21 38
33 29 47
9 18 113
18 21 61
26 13 41
26 4 47
13 4 56
34 39 93
14 35 80
43 25 50
35 13 46
13 32 101
43 33 110
34 5 121
1 28 47
6 17 75
34 33 90
35 1 88
25 12 54
7 35 42
6 25 34
3 1 54
29 42 47
39 20 72
18 16 64
24 32 104
24 8 82
31 34 125
29 7 46
7 46 35
43 8 83
5 1 44
1 39 70
44 40 108
20 19 27
29 3 22
34 37 32
14 15 44
33 30 73
29 34 44
35 9 104
9 2 132
10 37 114
21 4 118
45 8 62
44 14 38
22 10 89
6 42 53
19 20 60
17 25 112
22 25 101
19 5 18
21 1 21
42 33 81
21 28 51
28 27 76
24 12 119
18 7 36
33 8 59
1 14 50
41 13 106
40 13 77
20 31 114
28 45 99
29 16 39
7 37 46
6 46 76
25 28 43
27 30 73
5 7 56
42 43 27
23 17 87
15 25 119
28 47 89
40 12 62
7 19 61
3 42 44
33 44 61
29 27 99
42 18 47
5 37 46
24 39 26
19 8 84
36 30 84
15 12 32
25 13 47
33 15 48
14 29 59
29 19 74
4 41 129
31 38 73
41 5 80
726
39 37
27 10
27 43
21 46
13 14
22 30
23 47
2 41
47 32
15 39
40 47
2 33
25 44
33 26
4 9
22 14
47 31
36 2
18 17
46 24
34 6
13 43
38 16
22 7
11 20
34 30
23 10
42 39
35 41
32 30
11 43
43 5
40 8
31 39
11 47
23 31
34 39
5 35
34 6
43 9
23 26
16 32
23 40
39 38
36 45
14 25
32 16
14 39
11 9
4 30
33 30
44 11
44 4
43 32
5 8
6 29
45 24
7 32
27 11
30 1
17 40
3 14
34 46
47 19
25 14
24 25
3 14
24 40
29 5
35 19
44 7
33 29
40 33
27 9
9 29
12 47
27 3
13 40
27 31
25 46
4 25
8 39
31 28
26 32
47 15
4 22
23 11
4 11
8 22
22 1
19 39
10 43
2 24
46 47
1 31
14 46
28 37
16 20
46 42
46 12
7 43
9 42
26 37
25 17
47 2
33 6
10 24
28 13
15 12
37 7
29 27
31 17
2 5
42 34
42 31
12 13
23 10
42 24
30 16
18 12
47 29
1 47
46 8
37 5
9 3
6 35
5 40
31 27
12 40
41 22
43 38
22 17
37 21
31 47
29 5
30 47
42 26
7 1
27 32
18 41
16 37
25 39
26 25
8 30
27 15
12 38
22 44
16 10
8 32
10 26
24 37
23 5
21 6
41 27
34 31
1 27
22 47
6 6
14 30
38 13
13 1
21 14
40 39
25 45
10 45
41 43
22 40
17 26
15 20
19 20
32 29
44 43
15 32
17 22
38 11
43 25
41 45
13 24
16 9
13 29
28 43
17 36
38 6
5 29
30 27
39 41
12 18
28 32
4 26
47 8
23 3
8 47
2 16
2 25
27 41
11 6
8 37
40 36
12 9
6 9
28 35
39 11
19 3
14 23
17 29
20 38
10 5
7 25
36 18
34 22
5 28
2 37
17 33
34 22
26 40
20 43
20 39
28 36
12 44
28 47
3 26
8 46
21 21
44 3
31 15
47 41
22 32
5 47
33 3
42 33
16 39
45 25
9 24
19 18
25 19
14 40
38 35
20 26
20 4
16 44
37 31
39 12
40 27
22 35
34 28
3 9
2 42
31 12
29 31
37 44
3 26
26 13
1 8
4 35
13 27
27 29
34 46
44 33
47 34
32 30
3 31
31 44
16 6
38 43
4 8
44 37
14 19
41 11
6 27
11 32
23 35
23 8
1 22
22 4
46 46
12 43
46 8
42 19
42 29
45 43
18 8
31 5
30 37
16 15
5 33
27 21
23 1
7 16
8 24
43 42
31 34
45 5
44 1
39 7
25 22
16 25
30 15
14 15
4 19
25 12
6 8
47 13
19 39
20 45
1 26
12 19
33 3
13 32
11 26
8 29
46 9
37 30
17 3
38 9
34 39
13 37
46 32
36 24
35 33
34 6
29 41
6 47
11 45
39 27
3 30
5 25
11 44
13 45
18 17
43 17
2 12
12 9
14 23
21 1
15 37
44 26
40 3
1 5
3 38
19 20
11 11
7 4
35 35
27 3
19 38
6 19
37 17
5 17
30 45
34 36
25 39
12 13
34 27
33 8
43 9
42 27
45 24
6 38
6 8
22 26
43 19
29 24
31 26
37 23
46 32
22 6
5 31
43 20
47 41
18 9
3 19
7 11
44 27
21 13
11 14
11 22
24 8
40 6
10 35
30 9
37 10
9 12
34 36
23 15
29 34
39 13
38 13
24 25
12 19
28 5
5 24
13 33
21 1
30 44
38 37
11 12
12 9
19 41
11 43
24 8
5 7
32 25
23 46
32 11
32 16
42 38
8 25
4 14
45 24
38 34
7 26
24 39
23 27
1 29
41 31
15 16
43 21
1 46
40 35
10 23
17 19
13 23
43 21
5 34
6 6
44 34
6 37
1 26
30 40
2 43
45 3
17 2
1 26
42 35
25 5
21 10
15 15
18 36
14 1
44 3
23 15
24 36
35 28
11 6
20 22
16 1
33 14
25 14
2 12
22 17
26 18
9 1
32 34
20 38
19 13
12 30
43 47
20 31
27 29
14 21
15 36
15 4
37 21
24 1
38 4
34 3
26 27
24 6
6 23
4 1
9 21
34 7
11 34
5 34
41 42
35 20
45 2
3 37
3 6
12 11
11 19
1 16
26 10
4 17
23 15
25 4
25 14
12 42
3 8
41 3
17 37
7 43
17 14
6 25
25 35
4 1
11 41
38 37
20 19
29 1
30 36
12 27
17 31
43 32
37 8
35 42
13 9
42 21
12 5
46 12
4 27
39 35
11 25
41 32
23 23
23 31
27 40
21 29
26 28
27 33
19 22
35 18
1 9
36 2
46 18
25 16
21 17
44 4
44 24
16 40
38 11
9 15
33 4
16 20
36 13
42 32
26 13
41 30
39 22
35 2
37 39
33 6
45 7
11 10
43 17
32 3
12 34
43 9
13 20
32 44
41 16
13 34
23 40
37 8
24 15
12 23
36 14
4 46
25 4
18 26
41 6
25 20
29 40
20 39
18 32
18 20
37 39
9 21
27 47
30 5
18 4
34 29
5 10
14 46
31 45
31 10
3 7
3 35
38 41
5 30
21 45
37 39
44 40
33 45
6 30
19 25
21 13
9 38
20 44
16 19
27 22
9 20
2 8
17 31
36 21
30 34
43 1
32 20
14 42
32 12
24 17
40 1
26 6
37 38
46 13
16 42
25 33
4 46
37 17
38 37
24 3
9 32
47 33
30 20
28 36
24 26
12 4
43 10
30 8
42 43
19 27
32 24
6 35
9 10
44 34
30 44
4 42
36 22
9 8
1 41
24 17
10 10
37 38
30 22
38 41
17 30
23 43
19 44
18 33
27 12
25 21
23 42
7 27
22 17
16 22
2 22
7 2
19 2
18 23
34 15
6 34
19 4
17 1
22 9
24 39
4 23
28 37
16 3
41 15
4 10
16 13
7 17
39 43
23 22
24 17
27 43
46 13
7 38
3 20
26 6
6 14
41 24
18 26
41 18
33 17
8 3
20 25
47 40
28 2
12 22
25 1
32 8
12 9
25 16
30 26
1 22
37 45
5 3
20 30
47 14
2 6
36 8
9 25
24 22
13 15
11 1
8 4
29 5
30 33
12 9
2 25
36 8
16 34
14 22
20 44
20 45
3 46
21 20
13 24
46 35
33 4
3 15
16 47
14 33
17 47
21 34
19 38
12 25
18 28
39 22
11 2
3 16
42 13
46 10
31 9
40 6
