41 168
-8 -13
-16 6
18 20
-2 14
-5 -13
-8 8
17 -6
-11 -6
-20 6
11 2
-19 -16
10 2
-8 2
2 -20
13 -10
-10 -10
17 18
-4 -13
-7 -7
-11 -10
-18 13
17 -16
5 16
19 7
14 -9
11 5
-6 1
9 -2
15 -14
-11 7
-14 -9
-11 20
12 -4
-20 -20
-12 1
-2 9
2 20
13 -7
11 7
19 -12
-20 17
5 26
40 21
7 28
24 10
26 1
15 35
3 12
29 40
41 16
22 12
21 22
3 12
21 35
26 5
31 17
39 6
29 26
35 29
24 8
8 25
11 41
24 3
11 35
24 27
22 40
4 22
7 34
27 24
23 28
41 13
3 20
20 9
3 10
7 19
19 1
16 34
9 38
2 21
40 41
1 27
12 40
25 32
14 18
40 37
40 11
6 37
8 37
23 33
22 15
41 2
29 5
8 21
24 11
13 10
33 6
26 23
27 14
1 4
36 30
37 27
11 11
20 9
37 21
27 14
16 11
41 26
1 41
40 7
32 4
8 3
5 31
5 35
27 24
10 35
36 19
38 33
19 14
32 18
27 41
25 4
26 41
36 23
6 1
23 28
16 36
14 33
22 35
23 22
7 27
23 13
11 33
19 38
14 8
7 28
9 22
21 32
20 5
18 5
36 24
29 27
1 24
19 41
6 5
12 26
33 11
11 1
19 13
35 34
22 40
9 39
35 37
20 35
15 23
13 18
17 18
28 25
39 38
13 28
15 20
33 9
38 22
36 39
12 21
14 8
11 26
25 38
15 32
33 5
5 26
27 24
34 36
10 16
25 28
4 22
41 7
20 3
7 41
2 14
2 22
24 36
10 5
7 32
35 31
10 8
6 8
24 30
35 10
17 2
12 20
15 25
18 33
8 5
6 22
31 16
30 19
4 24
2 32
15 29
29 20
23 35
18 38
17 34
24 31
10 38
24 41
3 23
7 40
19 18
38 3
27 13
41 36
19 28
4 41
29 3
37 29
14 34
39 22
8 21
16 16
22 16
12 35
33 30
17 22
18 4
14 38
32 27
34 10
35 23
19 31
30 25
3 8
2 37
27 10
25 27
33 39
2 23
22 11
1 7
4 30
11 23
24 26
30 40
38 29
41 29
28 26
3 27
27 39
14 5
33 38
4 7
38 33
12 17
36 10
5 24
10 28
20 30
20 7
1 19
20 4
40 40
10 38
40 7
36 17
37 25
39 38
16 7
27 4
26 33
14 13
4 29
24 18
20 1
6 14
7 21
38 36
27 30
39 5
38 1
34 6
22 20
14 22
26 13
13 13
4 16
22 10
6 7
41 11
17 34
18 40
1 23
10 17
29 3
11 28
10 23
7 26
40 8
33 26
15 3
33 8
30 34
11 32
40 28
31 21
31 28
29 5
25 36
6 41
10 39
34 24
2 27
4 22
9 38
12 39
15 15
38 15
1 11
10 8
12 20
18 1
13 32
38 23
35 3
1 4
3 33
17 17
10 10
6 4
31 31
23 2
17 34
6 16
32 15
4 15
26 39
30 31
21 34
11 11
30 23
29 7
38 8
37 24
39 21
6 33
5 7
19 23
38 16
26 21
27 23
32 21
40 28
20 5
4 27
37 18
41 36
15 8
3 17
6 9
38 24
18 11
10 13
10 19
21 7
35 6
8 31
26 8
33 9
8 10
30 32
20 13
25 30
34 11
33 11
21 22
11 17
25 4
5 21
11 28
19 1
26 38
34 32
10 10
10 8
17 35
9 38
21 7
4 6
28 22
20 40
28 10
28 14
36 33
7 22
3 12
39 21
33 30
6 23
21 34
20 24
1 26
36 27
13 14
38 18
1 40
35 31
9 20
14 17
11 20
37 18
4 30
5 5
38 30
5 32
1 23
27 35
2 38
39 2
15 1
1 23
37 30
22 5
19 9
13 13
16 31
12 1
39 3
20 13
21 31
30 25
10 6
17 19
14 1
29 12
22 12
2 10
19 15
23 15
8 1
28 30
17 33
17 11
11 26
38 41
18 27
23 25
13 18
13 32
13 3
32 19
21 1
33 4
30 3
23 24
21 6
5 20
4 1
8 18
30 7
9 30
4 30
36 37
31 18
39 2
2 32
3 5
11 10
9 17
1 14
23 8
3 14
20 13
22 4
22 12
11 37
2 7
36 3
15 33
6 38
15 13
5 22
22 31
4 1
10 35
33 32
18 17
25 1
27 31
10 24
15 27
37 28
33 7
30 37
11 8
36 18
11 4
40 11
4 23
34 31
10 22
36 28
20 20
20 27
23 35
18 25
23 24
23 29
17 19
30 15
1 8
31 2
41 16
22 14
18 15
39 4
39 21
14 35
33 10
8 13
29 4
14 18
32 12
37 28
23 12
35 26
34 19
31 2
32 34
29 5
39 7
10 9
37 15
28 2
11 30
38 8
12 18
28 38
36 14
12 29
20 35
32 7
21 13
11 20
32 12
3 40
22 3
15 23
36 5
22 18
25 35
18 34
16 28
15 17
32 34
8 19
23 41
27 5
16 3
29 25
4 9
12 40
27 39
27 9
3 6
3 31
34 35
5 26
18 40
33 34
39 35
29 39
5 26
17 22
18 11
8 33
18 38
14 17
23 19
8 18
1 7
15 27
32 18
26 30
37 1
28 17
12 37
28 11
21 15
35 1
23 6
32 33
40 12
14 37
22 29
3 40
33 15
33 32
21 3
8 28
41 29
26 18
25 32
21 22
11 4
37 9
26 7
37 37
16 23
28 21
5 31
8 8
39 29
26 39
4 37
31 19
8 7
1 35
21 15
9 9
32 33
27 19
33 36
15 26
20 38
16 39
16 29
24 11
22 18
21 37
6 24
19 15
14 19
2 19
6 2
17 2
15 20
30 13
5 30
17 3
15 1
19 8
21 34
4 21
25 32
14 3
36 13
3 9
14 12
6 15
34 37
20 19
21 15
24 37
40 11
6 33
2 18
22 6
5 12
36 21
16 23
36 16
29 15
7 3
17 21
41 35
24 2
11 19
22 1
28 7
11 8
22 14
26 23
1 19
32 39
4 2
18 27
41 12
2 5
31 7
8 22
21 19
12 13
9 1
7 3
25 5
26 29
11 8
2 22
31 7
14 30
12 19
17 39
18 39
3 40
18 17
11 21
40 31
29 3
3 14
14 41
12 29
15 41
18 30
16 33
11 22
15 25
34 19
10 2
2 14
37 11
40 9
27 8
35 5
